Year,Month,Predicted_Overall_Revenue
2024,1,7520.9473
2024,2,6957.8755
2024,3,7044.8306
2024,4,7242.377
2024,5,7592.2715
2024,6,6873.896
2024,7,7447.183
2024,8,7308.3213
2024,9,6991.8394
2024,10,7390.904
2024,11,6926.3647
2024,12,7148.469
